canonical_name,display_name,category,method_type,brand_family,aliases,body_areas,description,competitor_methods
areola_tattoo_3d_nipple,Areola Tattoo / 3D Nipple,brwi_rzesy,technique,vinnie_myers_i_inni,Areola Tattoo / 3D Nipple|areola tattoo / 3d nipple|areola tattoo 3d nipple,,[PMU - areola] Rekonstrukcja brodawek po mastektomii Zastosowanie: Rekonstrukcja po nowotworze,[]
art_filler_universal_lips_volume_fine_lines,Art Filler Universal / Lips / Volume / Fine Lines,substancja,substance,filorga,Art Filler Universal / Lips / Volume / Fine Lines|art filler universal / lips / volume / fine lines|art filler universal lips volume fine lines,,"[HA - Filorga] HA z trojhelisem Zastosowanie: Wolumetria, usta, bruzdy",[]
artas_ix_robotic_hair_restoration,ARTAS iX Robotic Hair Restoration,transplantacja_wlosow,device,restoration_robotics_venus_concept,ARTAS iX Robotic Hair Restoration|artas ix robotic hair restoration,,[Hair transplant] Robotyczna ekstrakcja FUE Zastosowanie: Przeszczep wlosow,[]
arthrex_acp,Arthrex ACP,substancja,substance,arthrex,Arthrex ACP|arthrex acp,,[PRP/PRF] Autologous Conditioned Plasma podwojny strzykawkowy Zastosowanie: PRP,[]
asceplus_exosomes,ASCEplus / EXOSOMES,inny,substance,exocobio,ASCEplus / EXOSOMES|asceplus / exosomes|asceplus exosomes,,"[Egzosomy] Egzosomy z komorek macierzystych Zastosowanie: Lysienie, blizny, biorewitalizacja",[]
aveda,Aveda,fryzjer_zabieg,substance,estee_lauder,Aveda|aveda,,"[Marki profesjonalne] Plant-based salon Zastosowanie: Pielegnacja, kolor",[]
avene_ducray_a_derma_klorane,Avene / Ducray / A-Derma / Klorane,peeling,substance,pierre_fabre,Avene / Ducray / A-Derma / Klorane|avene / ducray / a-derma / klorane|avene ducray a derma klorane,,[Dermokosmetyki apteczne] Dermokosmetyki Zastosowanie: Pielegnacja medyczna,[]
aviclear,AviClear,laser_skin,device,cutera,AviClear|aviclear,,[Laser do trądziku] Laser 1726 nm celujacy w gruczoly lojowe Zastosowanie: Trądzik aktywny,[]
b_flexy,B-Flexy,rf_hifu,device,befun_srl,B-Flexy|b flexy|b-flexy,,"[Endermologia] Endermologia roznicowa Zastosowanie: Cellulit, drenaz",[]
b_lite_implants,B-Lite Implants,chirurgia,substance,g_g_biotechnology,B-Lite Implants|b lite implants|b-lite implants,,[Powiekszanie piersi] Lekkie implanty (lighter weight) Zastosowanie: Augmentacja piersi,[]
babor_doctor_skinovage,Babor Doctor / Skinovage,peeling,substance,babor_beauty_group,Babor Doctor / Skinovage|babor doctor / skinovage|babor doctor skinovage,,[Kosmeceutyki gabinetowe] Profesjonalna kosmetyka Zastosowanie: Antiaging,[]
babylights,Babylights,fryzjer_koloryzacja,technique,klasyczna,Babylights|babylights,,[Koloryzacja - rozjasnianie] Bardzo cienkie pasma rozjasnien Zastosowanie: Naturalny efekt dziecięcego rozjasnienia,[]
babyliss_curl_secret_pro_mira_curl,BaByliss Curl Secret / Pro Mira-Curl,fryzjer_zabieg,substance,babylisspro,BaByliss Curl Secret / Pro Mira-Curl|babyliss curl secret / pro mira-curl|babyliss curl secret pro mira curl,,[Lokowki/stylery] Auto-curling Zastosowanie: Stylizacja,[]
babyliss_pro_caruso_excess,BaByliss Pro Caruso / Excess,fryzjer_zabieg,substance,babylisspro_conair,BaByliss Pro Caruso / Excess|babyliss pro caruso / excess|babyliss pro caruso excess,,[Suszarki] Suszarki profesjonalne Zastosowanie: Suszenie,[]
babyliss_pro_fx_fxone_boost,BaByliss Pro FX FXONE / Boost+,fryzjer_zabieg,substance,babylisspro,BaByliss Pro FX FXONE / Boost+|babyliss pro fx fxone / boost+|babyliss pro fx fxone boost,,[Maszynki barberskie] Profesjonalne maszynki Zastosowanie: Strzyzenie meskie,[]
balayage,Balayage,fryzjer_koloryzacja,technique,tradycja_francuska_lata_70,Balayage|balayage,,[Koloryzacja - rozjasnianie] Recznie malowane pasma 'free-hand' Zastosowanie: Naturalny efekt rozjasnienia,[]
balmain_hair_couture,Balmain Hair Couture,fryzjer_zabieg,substance,balmain,Balmain Hair Couture|balmain hair couture,,"[Przedluzanie wlosow] Klipsy, tasmy, keratyny Zastosowanie: Przedluzanie i zaglesczanie",[]
bbl,BBL,laser_depilacja,technique,sciton,BBL|bbl,,"[IPL] BroadBand Light - szerokopasmowy IPL Zastosowanie: Fotoodmladzanie, Forever Young BBL",[]
bbl_hero,BBL Hero,laser_skin,device,sciton,BBL Hero|bbl hero,,"[Laser hybrydowy] BroadBand Light wysokoenergetyczny IPL nowej generacji Zastosowanie: Forever Young BBL, fotoodmladzanie",[]
bcn_mesotherapy_institute_bcn,BCN Mesotherapy / Institute BCN,mezoterapia,substance,institute_bcn,BCN Mesotherapy / Institute BCN|bcn mesotherapy / institute bcn|bcn mesotherapy institute bcn,,[Mezoterapia] Ampulki do mezoterapii Zastosowanie: Roznorodne wskazania estetyczne,[]
bd_mesoram_tsk,BD / Mesoram / TSK,inny,substance,bd_mesoram_tsk,BD / Mesoram / TSK|bd / mesoram / tsk|bd mesoram tsk,,[Igly do PMU / mezo] Igly mezoterapeutyczne i PMU Zastosowanie: Iniekcje,[]
beach_wave_air_wave,Beach Wave / Air Wave,fryzjer_zabieg,technique,klasyczna,Beach Wave / Air Wave|beach wave / air wave|beach wave air wave,,[Ondulacja - krotka] Lagodne fale Zastosowanie: Tymczasowe fale,[]
beauty_works,Beauty Works,fryzjer_zabieg,substance,beauty_works,Beauty Works|beauty works,,[Przedluzanie wlosow] Wide range extensions Zastosowanie: Przedluzanie,[]
bellafill_artefill,Bellafill / Artefill,inny,substance,suneva_medical,Bellafill / Artefill|bellafill / artefill|bellafill artefill,,"[PMMA] PMMA microspheres w kolagenie Zastosowanie: Permanentny filler, blizny trądzikowe",[]
bellami_hair,Bellami Hair,fryzjer_zabieg,substance,bellami,Bellami Hair|bellami hair,,"[Przedluzanie wlosow] Clip-in, tape, K-tip Zastosowanie: Przedluzanie",[]
belotero,Belotero,substancja,substance,merz,belotero|belotero balance|belotero soft|belotero volume,"[""face"",""lips""]","Merz Belotero — wypełniacze HA CPM, naturalna integracja w tkance.","[""restylane"",""juvederm""]"
belotero_balance_soft_intense_volume,Belotero Balance / Soft / Intense / Volume,substancja,substance,merz_aesthetics,Belotero Balance / Soft / Intense / Volume|belotero balance / soft / intense / volume|belotero balance soft intense volume,,"[HA - Merz] CPM Cohesive Polydensified Matrix HA Zastosowanie: Bruzdy, wolumetria",[]
belotero_lips_contour_shape,Belotero Lips Contour/Shape,substancja,substance,merz_aesthetics,Belotero Lips Contour/Shape|belotero lips contour shape|belotero lips contour/shape,,[HA - Merz] Dedykowane do ust Zastosowanie: Modelowanie ust,[]
belotero_revive,Belotero Revive,substancja,substance,merz_aesthetics,Belotero Revive|belotero revive,,[HA - Merz] Skinbooster z glicerolem Zastosowanie: Hydratacja,[]
bichectomy_bichat_fat_pad_removal,Bichectomy / Bichat fat pad removal,chirurgia,technique,bichat,Bichectomy / Bichat fat pad removal|bichectomy / bichat fat pad removal|bichectomy bichat fat pad removal,,"[Konturowanie twarzy] Usuniecie ciala tluszczowego policzka Zastosowanie: V-line, smuklejsza twarz",[]
bioderma_esthederm,Bioderma / Esthederm,peeling,substance,naos,Bioderma / Esthederm|bioderma / esthederm|bioderma esthederm,,[Dermokosmetyki apteczne] Dermokosmetyki Zastosowanie: Pielegnacja medyczna,[]
bioline_jato,Bioline-Jato,peeling,substance,bioline_jato,Bioline-Jato|bioline jato|bioline-jato,,[Kosmeceutyki gabinetowe] Pelne portfolio gabinetowe Zastosowanie: Antiaging,[]
biolitec_elves_radial_celon_rfitt,Biolitec ELVeS Radial / CeLon RFITT,laser_skin,substance,biolitec,Biolitec ELVeS Radial / CeLon RFITT|biolitec elves radial / celon rfitt|biolitec elves radial celon rfitt,,[Lasery do zylakow] Laser radial 1470 nm Zastosowanie: Niewydolnosc zylna,[]
bioregen,BioReGen,inny,substance,skinprime_mesoestetic,BioReGen|bioregen,,[Mezopeeling] Lacy peeling i biostymulator Zastosowanie: Rewitalizacja,[]
biorepeelcl3,BioRePeelCl3,peeling,substance,promoitalia,BioRePeelCl3|biorepeelcl3,,"[Peeling chemiczny] TCA 35% bifazowy Zastosowanie: Resurfacing, melasma",[]
biotek_goldeneye_hanafy,Biotek / Goldeneye / Hanafy,makijaz_permanentny,substance,biotek_goldeneye,Biotek / Goldeneye / Hanafy|biotek / goldeneye / hanafy|biotek goldeneye hanafy,,[PMU - pigmenty] Pigmenty PMU Zastosowanie: PMU,[]
bishop_magi_wand,Bishop Magi / Wand,makijaz_permanentny,substance,bishop_rotary,Bishop Magi / Wand|bishop magi / wand|bishop magi wand,,[PMU - urzadzenia] Maszynki rotacyjne Zastosowanie: PMU,[]
blepharoplasty_upper_lower,Blepharoplasty - Upper/Lower,chirurgia,technique,klasyczna,Blepharoplasty - Upper/Lower|blepharoplasty - upper/lower|blepharoplasty upper lower,,"[Powieki] Korekcja powiek gornych/dolnych Zastosowanie: Nadmiar skory, worki",[]
bodyballancer,BodyBallancer,rf_hifu,device,bodyballancer_lympha_press,BodyBallancer|bodyballancer,,[Presoterapia] Presoterapia 24-komorowa Zastosowanie: Drenaz limfatyczny,[]
bodytite_facetite_accutite,BodyTite/FaceTite/AccuTite,rf_hifu,device,inmode,BodyTite/FaceTite/AccuTite|bodytite facetite accutite|bodytite/facetite/accutite,,"[Wielobiegunowa RF] RAFL - Radio-Frequency Assisted Lipolysis subdermalna RF Zastosowanie: Lipoliza, lifting",[]
bodytite_rfal,BodyTite RFAL,chirurgia,device,inmode,BodyTite RFAL|bodytite rfal,,[Liposukcja chirurgiczna] Radio-Frequency Assisted Liposuction Zastosowanie: Lipoliza + tightening,[]
botoks_wlosow,Botoks na włosy,fryzjer_zabieg,protocol,,botoks włosów|botoks na włosy|hair botox,"[""hair""]","Regeneracyjne maski białkowe (lipid + protein) — odbudowa łuski, NIE neurotoksyna.","[""keratyna_wlosow""]"
botox,Botoks,substancja,substance,allergan,botox|botoks|botox vistabel,"[""face""]","Allergan Botox/Vistabel — toksyna botulinowa typu A, neuromodulator zmarszczek mimicznych.","[""dysport"",""xeomin"",""bocouture"",""azzalure""]"
botox_vistabel,Botox / Vistabel,substancja,substance,allergan_aesthetics_abbvie,Botox / Vistabel|botox / vistabel|botox vistabel,,"[Toksyna botulinowa] OnabotulinumtoxinA 100/50 U Zastosowanie: Zmarszczki mimiczne, nadpotliwosc",[]
brachioplastyka_cruroplastyka,Brachioplastyka / Cruroplastyka,chirurgia,technique,klasyczne,Brachioplastyka / Cruroplastyka|brachioplastyka / cruroplastyka|brachioplastyka cruroplastyka,,[Plastyka ramion/ud] Korekta wiotkosci ramion/ud Zastosowanie: Body lift,[]
brazilian_blowout,Brazilian Blowout,fryzjer_zabieg,substance,brazilian_blowout_cadiveu_inni,Brazilian Blowout|brazilian blowout,,[Prostowanie - keratyna] Aminokwasowo-keratynowe wygladzanie Zastosowanie: Prostowanie z efektem 4-6 mies,[]
brazilian_bond_builder_b3,Brazilian Bond Builder b3,fryzjer_zabieg,substance,b3_brazilian_bond_builder,Brazilian Bond Builder b3|brazilian bond builder b3,,[Bond builders/ochrona] Bond builder additive Zastosowanie: Ochrona,[]
brazilian_butt_lift_bbl,Brazilian Butt Lift (BBL),chirurgia,technique,roznorodni_mendieta_i_in,Brazilian Butt Lift (BBL)|brazilian butt lift|brazilian butt lift (bbl),,[Lipotransfer] Lipotransfer do posladkow Zastosowanie: Modelowanie posladkow,[]
briogeo,Briogeo,fryzjer_zabieg,substance,wella_company,Briogeo|briogeo,,[Marki profesjonalne] Plant-based Zastosowanie: Pielegnacja,[]
bronsun,BronSun,brwi_rzesy,substance,bronsun,BronSun|bronsun,,[Brwi - laminacja marki] Henny do brwi i rzes Zastosowanie: Koloryzacja,[]
brow_lamination,Brow Lamination,brwi_rzesy,technique,roznorodni,Brow Lamination|brow lamination,,[Brwi - laminacja] Lifting wlosa brwi z chemia Zastosowanie: Stylizacja brwi,[]
buccal_liposuction,Buccal Liposuction,chirurgia,technique,klasyczna,Buccal Liposuction|buccal liposuction,,[Konturowanie twarzy] Lipoaspiracja policzkow/podbrodka Zastosowanie: V-line,[]
builder_gel_biab_builder_in_a_bottle,Builder Gel BIAB - Builder In A Bottle,manicure,technique,the_gel_bottle_apres_polygel,Builder Gel BIAB - Builder In A Bottle|builder gel biab - builder in a bottle|builder gel biab builder in a bottle,,[Techniki] Buduwanie pod hybryda Zastosowanie: Wzmocnienie plytki,[]
bumble_and_bumble,Bumble and bumble,fryzjer_zabieg,substance,estee_lauder,Bumble and bumble|bumble and bumble,,[Marki profesjonalne] Salon care Zastosowanie: Stylizacja,[]
burane_xl,Burane XL,laser_skin,device,quanton_medical_asclepion,Burane XL|burane xl,,"[Laser Er:YAG] Er:YAG do ablacji i koagulacji skory Zastosowanie: Resurfacing, znamiona",[]
cadiveu_brasil_cacau,Cadiveu Brasil Cacau,fryzjer_zabieg,substance,cadiveu,Cadiveu Brasil Cacau|cadiveu brasil cacau,,[Prostowanie - keratyna] Keratyna brazylijska Zastosowanie: Wygladzanie,[]
canthopexy_canthoplasty,Canthopexy/Canthoplasty,chirurgia,technique,roznorodni,Canthopexy/Canthoplasty|canthopexy canthoplasty|canthopexy/canthoplasty,,[Powieki] Korekcja katow oka Zastosowanie: Estetyka okolicy oka,[]
capillus,Capillus,trychologia,substance,capillus,Capillus|capillus,,[Trychologia laser] LLLT cap Zastosowanie: Lysienie,[]
carboxy_pen,Carboxy Pen,mezoterapia,device,wielu_oem,Carboxy Pen|carboxy pen,,"[Karboksyterapia] Karboksyterapia bezigłowa CO2 transdermalny Zastosowanie: Odmladzanie, cellulit",[]
cavi_lipo,Cavi-Lipo,inny,technique,wielu_oem,Cavi-Lipo|cavi lipo|cavi-lipo,,[Ultradzwieki kawitacyjne] Kawitacja ultradzwiekowa do tluszczu Zastosowanie: Modelowanie sylwetki,[]
cellactor_sc1,Cellactor SC1,rf_hifu,device,storz_medical,Cellactor SC1|cellactor sc1,,"[Shockwave akustyczna] Shockwave akustyczna Zastosowanie: Cellulit, ED",[]
cellenis_prp_prp,Cellenis PRP / PRP+,substancja,substance,estar_medical,Cellenis PRP / PRP+|cellenis prp / prp+|cellenis prp prp,,[PRP/PRF] PRP system Zastosowanie: PRP,[]
celluma,Celluma,inny,device,biophotas,Celluma|celluma,,"[LED therapy] LED red/blue/NIR Zastosowanie: Trądzik, antiaging",[]
cheyenne_hawk_sol_nova,Cheyenne Hawk / Sol Nova,makijaz_permanentny,substance,cheyenne_tattoo_equipment,Cheyenne Hawk / Sol Nova|cheyenne hawk / sol nova|cheyenne hawk sol nova,,"[PMU - urzadzenia] Profesjonalne maszynki PMU Zastosowanie: PMU brwi, ust, kresek",[]
christina_cosmeceuticals,Christina Cosmeceuticals,peeling,substance,christina,Christina Cosmeceuticals|christina cosmeceuticals,,[Kosmeceutyki gabinetowe] Profesjonalna kosmetyka Zastosowanie: Antiaging,[]
chrome_powder_pylki_chromowe_cat_eye,Chrome Powder / Pylki chromowe / Cat Eye,manicure,technique,klasyczna,Chrome Powder / Pylki chromowe / Cat Eye|chrome powder / pylki chromowe / cat eye|chrome powder pylki chromowe cat eye,,[Techniki] Efekty pylkowe i magnetyczne Zastosowanie: Manicure,[]
clarity_ii,Clarity II,laser_depilacja,device,lutronic,clarity ii|clarity 2|lutronic clarity,"[""face"",""body"",""armpit"",""bikini"",""legs""]",Laser dual Lutronic 755/1064nm; aleksandryt + Nd:YAG do depilacji + naczynia.,"[""thunder"",""motus""]"
clarius_dermascan_esaote_mylab,Clarius / DermaScan / Esaote MyLab,inny,device,clarius_dermascan_esaote,Clarius / DermaScan / Esaote MyLab|clarius / dermascan / esaote mylab|clarius dermascan esaote mylab,,[Anatomia ultrasonograficzna] USG skory i naczyn do iniekcji Zastosowanie: Mapowanie naczyn przed iniekcjami,[]
classic_lashes,Classic Lashes,brwi_rzesy,technique,roznorodni,Classic Lashes|classic lashes,,[Rzesy - przedluzanie] 1:1 metoda klasyczna Zastosowanie: Przedluzanie rzes,[]
clatuu_alpha,Clatuu Alpha,rf_hifu,device,classys,Clatuu Alpha|clatuu alpha,,[Kriolipoliza] Kriolipoliza 360 stopni Zastosowanie: Modelowanie sylwetki,[]
clear_brilliant,Clear + Brilliant,laser_skin,device,solta_medical,Clear + Brilliant|clear + brilliant|clear brilliant,,"[Laser frakcyjny nieablacyjny] Lagodny laser frakcyjny do mlodej skory Zastosowanie: Profilaktyka starzenia, blask skory",[]
cleopatra_slim_iyashi_dome,Cleopatra Slim / IYASHI DOME,inny,device,iyashi_dome_japonia_francja,Cleopatra Slim / IYASHI DOME|cleopatra slim / iyashi dome|cleopatra slim iyashi dome,,"[Kapsuly SPA] Kapsula IR z karbonem Zastosowanie: Detoks, modelowanie",[]
closed_rhinoplasty,Closed Rhinoplasty,chirurgia,technique,klasyczna,Closed Rhinoplasty|closed rhinoplasty,,[Rynoplastyka] Dostep wewnątrznosowy Zastosowanie: Korekta nosa,[]
cnd_shellac,CND Shellac,manicure,substance,creative_nail_design_revlon,CND Shellac|cnd shellac,,[Marki lakiery hybrydowe] Oryginalny hybrydowy system Zastosowanie: Manicure,[]
cold_perm,Cold Perm,fryzjer_zabieg,technique,klasyczna,Cold Perm|cold perm,,[Ondulacja permanentna] Klasyczna trwala Zastosowanie: Ondulacja,[]
cole_isolation_technique_cit,Cole Isolation Technique (CIT),transplantacja_wlosow,technique,john_cole,Cole Isolation Technique (CIT)|cole isolation technique|cole isolation technique (cit),,[Hair transplant] FUE z malymi punchami Zastosowanie: Przeszczep wlosow,[]
coleman_technique,Coleman Technique,chirurgia,technique,sydney_coleman,Coleman Technique|coleman technique,,[Lipotransfer] Klasyczny protokol lipotransferu twarzy Zastosowanie: Wolumetria twarzy,[]
color_block_peekaboo,Color Block / Peekaboo,fryzjer_zabieg,technique,klasyczna,Color Block / Peekaboo|color block / peekaboo|color block peekaboo,,[Koloryzacja koloru fantazyjnego] Ukryte fantazyjne pasma Zastosowanie: Kolory pastelowe/jaskrawe,[]
color_melt,Color Melt,fryzjer_koloryzacja,technique,klasyczna,Color Melt|color melt,,[Koloryzacja - rozjasnianie] Bezszwowe przenikanie kolorow Zastosowanie: Plynne przejscia,[]
color_wow,Color Wow,fryzjer_zabieg,substance,color_wow,Color Wow|color wow,,"[Marki profesjonalne] Pielegnacja kolorowo-stylowa Zastosowanie: Antyfrizz, kolor",[]
combo_brows,Combo Brows,makijaz_permanentny,technique,roznorodni,Combo Brows|combo brows,,[Brwi - PMU] Microblading + shading Zastosowanie: PMU brwi,[]
comfort_zone_davines_group,Comfort Zone (Davines Group),peeling,substance,davines_group,Comfort Zone (Davines Group)|comfort zone|comfort zone (davines group),,[Kosmeceutyki gabinetowe] Sustainable spa Zastosowanie: Pielegnacja spa,[]
coolsculpting,CoolSculpting,rf_hifu,device,allergan,coolsculpting|cool sculpting|coolsculpting elite,"[""body"",""abdomen"",""thighs"",""arms""]","Allergan CoolSculpting — pierwsza FDA-approved kriolipoliza, kontrolowane zimno.","[""cooltech"",""onda""]"
coolsculpting_elite,CoolSculpting Elite,rf_hifu,device,allergan_abbvie,CoolSculpting Elite|coolsculpting elite,,[Kriolipoliza] Kriolipoliza z dual aplikatorami i C-curve Zastosowanie: Redukcja tkanki tluszczowej,[]
cooltech,CoolTech,rf_hifu,device,cocoon_medical,cooltech|cool tech|cooltech define,"[""body"",""abdomen"",""thighs""]","Cocoon Medical CoolTech — kriolipoliza, zamrażanie tkanki tłuszczowej.","[""coolsculpting"",""onda""]"
cooltech_define,Cooltech Define,rf_hifu,device,cocoon_medical_cynosure,Cooltech Define|cooltech define,,[Kriolipoliza] Kriolipoliza europejska Zastosowanie: Redukcja tluszczu,[]
cooltone,CoolTone,rf_hifu,device,allergan_abbvie,CoolTone|cooltone,,[EMS HIFEM] Magnetic Muscle Stimulation MMS Zastosowanie: Mass miesniowa,[]
copoline_hapla_ruck_tubes,Copoline / Hapla / Ruck Tubes,inny,substance,hapla_ruck,Copoline / Hapla / Ruck Tubes|copoline / hapla / ruck tubes|copoline hapla ruck tubes,,"[Podologia tampondaze] Ortodzeniki, opatrunki Zastosowanie: Korekta i ochrona",[]
core,CORE,laser_skin,device,syneron_candela,CORE|core,,"[Laser CO2 frakcyjny] Frakcyjny CO2 do resurfacingu twarzy Zastosowanie: Odmladzanie, blizny",[]
coretox_innotox,Coretox / Innotox,substancja,substance,medytox,Coretox / Innotox|coretox / innotox|coretox innotox,,[Toksyna botulinowa] Toksyna w formie plynnej Zastosowanie: Zmarszczki,[]
cosmedix_glycosomes,Cosmedix (Glycosomes),peeling,substance,cosmedix,Cosmedix (Glycosomes)|cosmedix|cosmedix (glycosomes),,[Kosmeceutyki gabinetowe] Chirally correct skincare Zastosowanie: Antiaging,[]
cosmedix_pumpkin_definitive_radiance,Cosmedix Pumpkin / Definitive Radiance,peeling,substance,cosmedix,Cosmedix Pumpkin / Definitive Radiance|cosmedix pumpkin / definitive radiance|cosmedix pumpkin definitive radiance,,[Peeling chemiczny] Enzymatyczny peeling Zastosowanie: Blask,[]
cosmelan,Cosmelan,peeling,protocol,mesoestetic,cosmelan|cosmelan 2|mesoestetic cosmelan,"[""face""]",Mesoestetic Cosmelan — depigmentacja kompleksowa (kwas kojowy + askorbinowy + arbutin + retinol).,"[""dermamelan"",""melanostop""]"
cosmelan_2,Cosmelan 2,peeling,substance,mesoestetic,Cosmelan 2|cosmelan 2,,"[Peeling chemiczny] Depigmentacyjny system maska + krem Zastosowanie: Melasma, przebarwienia",[]
crew_cut_buzz_caesar_french_crop,Crew Cut / Buzz / Caesar / French Crop,fryzjer_zabieg,technique,klasyczna,Crew Cut / Buzz / Caesar / French Crop|crew cut / buzz / caesar / french crop|crew cut buzz caesar french crop,,[Strzyzenie meskie] Krotkie meskie Zastosowanie: Strzyzenie meskie,[]
croma_princess_lift_definisse,Croma Princess Lift / Definisse,substancja,substance,relife_menarini_definisse,Croma Princess Lift / Definisse|croma princess lift / definisse|croma princess lift definisse,,[Nici PCL] Free-floating PCL with caprolactone Zastosowanie: Lifting twarzy,[]
croquant_magic_lift,Croquant / Magic Lift,substancja,substance,roznorodni,Croquant / Magic Lift|croquant / magic lift|croquant magic lift,,[Nici PDO] Twisted PDO threads Zastosowanie: Lifting i biorewitalizacja,[]
